48,91,31,16,16,69,23,91,73,3,50,19,81,16,13,84,40,0,50,24,96,60,54,21,19,98,34,65,2,51,59,2,94,42,18,10,63,94,53,36,97,3
7,78,20,20,62,12,72,65,36,68,25,42,42,97,40,76,62,94,79,73,97,25,67,67,88,30,61,41,18,10,45,25,40,17,97,3,29,69,20,66,90,97
8,32,46,1,60,60,95,40,33,44,17,0,12,5,82,25,47,0,36,44,77,76,61,74,31,90,44,3,8,86,1,69,18,99,70,78,60,65,70,45,10,88
46,22,45,80,99,92,81,87,88,10,16,49,85,47,92,81,3,52,67,56,21,37,55,91,15,15,57,38,61,67,78,59,41,23,39,92,68,72,80,56,35,96
58,20,95,2,1,98,54,20,54,76,57,62,67,72,77,76,62,90,95,40,1,88,16,93,81,84,65,61,92,0,57,2,72,4,4,25,3,59,45,9,87,2
71,54,27,1,83,41,43,78,82,45,67,50,38,48,34,55,61,78,8,70,81,80,74,37,6,29,96,3,39,35,58,62,90,85,15,25,26,59,3,60,4,22
10,42,70,96,97,83,27,5,53,8,38,28,45,96,9,94,99,48,29,57,63,71,94,78,96,73,89,52,33,93,74,96,87,97,44,37,80,71,94,34,79,32
14,77,28,23,23,80,24,4,89,87,76,84,17,24,57,7,76,42,52,3,90,40,0,35,77,80,6,71,66,38,56,80,67,36,56,90,68,80,94,58,19,22
94,88,47,3,95,75,97,0,78,88,92,30,23,69,63,81,92,29,19,0,10,86,89,66,28,57,98,23,15,17,97,61,5,96,64,53,72,62,5,2,50,97
85,25,18,48,6,62,77,78,63,39,16,52,57,45,61,55,20,77,24,17,90,82,14,55,87,38,17,92,92,19,41,77,96,59,25,2,73,55,32,36,94,49
40,4,94,2,59,14,31,36,83,21,70,97,28,57,87,97,1,80,68,94,57,64,53,35,19,26,90,51,15,36,52,7,40,46,61,52,12,44,88,96,18,10
45,46,19,33,96,20,65,64,66,22,29,19,9,48,97,51,51,64,88,4,72,28,2,85,32,15,30,72,63,48,82,60,46,1,45,42,73,10,7,39,85,36
10,94,36,60,46,39,24,86,43,48,66,98,34,99,13,16,71,28,64,6,88,10,7,34,5,33,44,12,72,81,0,35,76,88,95,74,27,71,60,23,20,26
0,0
41,41
end

